Initialized in 0.000016 s
Input read in 0.000633 s
Threads setup in 0.000003 s
Acceleration calculated in 0.006618 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006582 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006588 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006617 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006577 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006600 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006585 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006595 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006597 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006585 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006585 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006577 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006574 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006578 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006562 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006569 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006565 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006572 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006573 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006572 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006572 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006574 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006580 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006569 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006569 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006568 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006580 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006570 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006571 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006569 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006574 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006569 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006571 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006575 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006576 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006571 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006589 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006566 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006571 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006563 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006573 s
Solution calculated in 0.000005 s
Acceleration calculated in 0.006576 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006571 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006567 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006575 s
Solution calculated in 0.000004 s
Acceleration calculated in 0.006564 s
Solution calculated in 0.000004 s
Problem solved in 0.657700 s, 0.006577 per timestep with 1000 particles
Output written in 0.008972 s
Program finished in 0.667361 s. Exiting...
1	0.667362
Initialized in 0.000018 s
Input read in 0.000234 s
Threads setup in 0.000006 s
Acceleration calculated in 0.003474 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003326 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003338 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003336 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003334 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003346 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003348 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003335 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003340 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003339 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003339 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003337 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003325 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003336 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003339 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.003338 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003367 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003337 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003336 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003336 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003325 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003335 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000029 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003334 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003341 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003336 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003334 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003323 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003326 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003327 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003325 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003331 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003334 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003340 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003335 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003332 s
Solution calculated in 0.000029 s
Acceleration calculated in 0.003323 s
Solution calculated in 0.000028 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003327 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003334 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003337 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003329 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003328 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003324 s
Solution calculated in 0.000027 s
Acceleration calculated in 0.003330 s
